# ell,D_ell
659,1.6141174513e+03
660,1.6092682086e+03
661,1.6043446797e+03
662,1.5993580329e+03
663,1.5943045800e+03
664,1.5891954893e+03
665,1.5840345007e+03
666,1.5788179260e+03
667,1.5735569335e+03
668,1.5682626915e+03
669,1.5629240834e+03
670,1.5575597059e+03
671,1.5521658705e+03
672,1.5467463175e+03
673,1.5413047866e+03
674,1.5358450180e+03
675,1.5303781800e+03
676,1.5249005842e+03
677,1.5194159707e+03
678,1.5139206511e+03
679,1.5084332221e+03
680,1.5029499954e+03
681,1.4974672826e+03
682,1.4919888237e+03
683,1.4865257872e+03
684,1.4810819129e+03
685,1.4756460843e+03
686,1.4702294696e+03
687,1.4648358088e+03
688,1.4594688421e+03
689,1.4541323093e+03
690,1.4488225221e+03
691,1.4435432206e+03
692,1.4382981447e+03
693,1.4330910344e+03
694,1.4279182015e+03
695,1.4227908142e+03
696,1.4176903276e+03
697,1.4126427666e+03
698,1.4076295862e+03
699,1.4026693832e+03
700,1.3977510408e+03
701,1.3928786864e+03
702,1.3880505686e+03
703,1.3832801799e+03
704,1.3785735847e+03
705,1.3739145621e+03
706,1.3693314614e+03
707,1.3648080618e+03
708,1.3603504277e+03
709,1.3559720516e+03
710,1.3516641410e+03
711,1.3474327603e+03
712,1.3432914020e+03
713,1.3392238453e+03
714,1.3352435829e+03
715,1.3313566790e+03
716,1.3275543411e+03
717,1.3238426336e+03
718,1.3202276207e+03
719,1.3167079382e+03
720,1.3132896506e+03
721,1.3099713935e+03
722,1.3067592314e+03
723,1.3036592285e+03
724,1.3006700206e+03
725,1.2977976721e+03
726,1.2950408188e+03
727,1.2924055250e+03
728,1.2898978550e+03
729,1.2875015880e+03
730,1.2852376449e+03
731,1.2831046616e+03
732,1.2810938458e+03
733,1.2792186899e+03
734,1.2774778300e+03
735,1.2758624735e+03
736,1.2743935415e+03
737,1.2730548131e+03
738,1.2718597809e+03
739,1.2708070809e+03
740,1.2698953490e+03
741,1.2691232210e+03
742,1.2684967613e+03
743,1.2680220340e+03
744,1.2676902468e+03
745,1.2675074639e+03
746,1.2674723212e+03
747,1.2675908830e+03
748,1.2678617852e+03
749,1.2682910919e+03
750,1.2688774393e+03
751,1.2696188581e+03
752,1.2705109594e+03
753,1.2715636059e+03
754,1.2727718036e+03
755,1.2741305586e+03
756,1.2756348768e+03
757,1.2773020494e+03
758,1.2791196541e+03
759,1.2810901251e+03
760,1.2832084686e+03
761,1.2854771189e+03
